uid	rid	rating
1	1010	3.4
1	102	2.7
1	103	5
1	1042	4.8
1	1043	4.6
1	1075	1.2
1	1078	0.3
1	1081	0.9
1	1088	4.1
1	1089	3.9
1	1092	2.7
1	1093	2.3
1	1098	2
1	1123	3
1	1126	4
1	1131	4.2
1	1134	4.6
1	1138	3.2
1	120	3.7
1	139	4.1
1	141	3.5
1	147	2.7
1	167	1.9
1	168	1.3
1	172	1.4
1	186	1.7
1	195	1.8
1	204	2.1
1	207	2.2
2	1023	2.7
2	1028	0.2
2	1031	0.7
2	1037	0.5
2	1050	3.5
2	1069	1.8
2	1076	0.9
2	109	3.2
2	1106	1.9
2	156	1.6
2	16	1.4
2	174	3.4
2	18	1.0
2	191	2.9
2	2	2.2
2	230	4.6
2	237	1.9
2	251	0.9
2	2957	3.6
2	2971	4.8
2	2984	0.8
2	2995	1.9
2	300	4.4
2	3007	4.8
2	3014	1.1
2	3015	0.6
2	3083	0.2
2	314	3.8
2	327	4.2
